Column,Agenda items,Accept,Reject,Dissenting Opinion
,ORDINARY BUSINESS:,,,
1,"To receive and, if approved, adopt the audited Consolidated
Financial Statements for the year ended 31 December 2025,
together with the Chairman’s, the Directors’ and Auditor’s
Reports thereon.",,,
2,"To note that the Directors do not recommend the payment
of a dividend for the Financial Year ended 31 December 2025.",,,
3,"Directors:
i. Dr. Peter K. Munga retires by rotation in accordance with
Articles 91 and 92 of the Articles of Association of the Com‑
pany and having attained the age of seventy years retires
in accordance with the Code of Corporate Governance
Practices for Issuers of Securities to the Public 2015 and
being eligible, offers himself for re-election as a director
of the company.",,,
,"ii. Mr. Jimnah Mbaru retires by rotation in accordance with
Articles 91 and 92 of the Articles of Association of the Com‑
pany and having attained the age of seventy years retires
in accordance with the Code of Corporate Governance
Practices for Issuers of Securities to the Public 2015 and
being eligible, offers himself for re-election as a director
of the company.",,,
,"iii. AfricInvest III SPV 1, a Corporate Director represented by
Mr. George Odo that was appointed to fill a casual vacancy
retires in accordance with Article 114 of the Articles of As‑
sociation of the Company and being eligible, offers itself
for re‑election as a director of the Company.",,,
,"iv. Mr. Julius Mbaya retires at the Meeting in accordance with
Articles 91 and 92 of the Articles of Association of the
Company, and being eligible, offers himself for re-election.",,,
,"v. Ms. Celestine Munda retires at the Meeting in accordance
with Articles 91 and 92 of the Articles of Association of the
Company, and being eligible, offers herself for re-election.",,,
,"vi. Ms. Susan Abisola retires at the Meeting in accordance
with Articles 91 and 92 of the Articles of Association of the
Company, and being eligible, offers herself for re-election.",,,
4,"In accordance with the provisions of Section 769 of the Com‑
panies Act 2015, the following directors being members of the
Board Audit, Risk and Compliance Committee offer them‑
selves to be elected to continue to serve as members of the
said Committee:
a) Ms. Celestine Munda
b) Ms. Susan Abisola
c) Ms. Judy Rugasira Kyanda",,,
