-,700,-,-,-
"1,050,269","1,020,480","1,019,988","1,023,742","1,020,480"
-,"21,855",-,,-
"1,050,269","1,043,035","1,019,988","1,023,742","1,020,480"
"1,043,035","1,019,988","1,019,988","1,020,480","1,019,288"
131,-,-,-,
"139,379","134,937",-,"135,538","113,082"
"(132,276)","(111,890)",-,"(132,276)","(111,890)"
"1,050,269","1,043,035","1,019,988","1,023,742","1,020,480"
"(31,978)","(31,080)","(31,044)","(31,138)","(30,380)"
"1,018,291","1,011,955","988,944","992,604","990,100"
"31,080","31,044",700,"30,380","30,344"
898,36,"30,344",758,36
"31,978","31,080","31,044","31,138","30,380"
