Column,2008,Column,Column,2007,Column,Column
,Gross,Reinsurance,Net,Gross,Reinsurance,Net
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Notified claims,"153,225","69,869","83,356","152,168","86,660","65,508"
Incurred but not reported,"62,261","24,948","37,313","41,148","25,580","15,568"
Total at beginning of year,"215,486","94,817","120,669","193,316","112,240","81,076"
Cash paid for claims settled in year,"(349,287)","(104,733","(244,544)","(250,985)","(119,983)","(131,002)"
Increase in liabilities:,,,,,,
- arising from current year claims,"333,317","86,497","246,820","200,647","70,604","130,043"
- arising from prior year claims,"89,946","19,613","70,333","72,508","31,956","40,552"
Total at end of year,"289,462","96,194","193,268","215,486","94,817","120,669"
Notified claims,"238,791","89,403","149,388","153,225","69,869","83,356"
Incurred but not reported,"50,671","6,791","43,880","62,261","24,948","37,313"
Total at the end of year,"289,462","96,194","193,268","215,486","94,817","120,669"
