"161,422,931
(767,582)","12,193,871
‑",Column,Column,Column,Column,Column,Column,Column
,,"173,616,802",,,,,,
,,"(767,582)",,,,,,
"160,655,349","12,193,871","172,849,220",,,,,,
"162,744,076
(1,532,903)","11,943,529
‑",-,"1,321,145
765,322)","(250,341)
‑",,"11,943,529
‑","(305,481)
‑","(213,837)
‑"
,,"174,687,605",,,"1,070,804",,,
,,"(1,532,903)",,,"(765,322)",,,
"161,211,173","11,943,529","173,154,702","555,823","(250,341)","305,482","11,943,529","(305,481)","(213,837)"
"161,642,736
(767,582)","12,194,774
‑",-,"219,804
‑","903
‑",-,"12,194,774
‑","(220,708)
‑","(154,496)
‑"
,,"173,837,510",,,"220,707",,,
,,"(767,582)",,,‑,,,
"160,875,154","12,194,774","173,069,928","219,804",903,"220,707","12,194,774","(220,708)","(154,496)"
"161,240,638
(767,582)","12,142,615
‑",‑,"(182,293)
‑","(51,256)
‑",‑,"12,142,615
‑","233,549
‑","163,484
‑"
,,"173,383,253",,,"(233,549)",,,
,,"(767,582)",,,‑,,,
"160,473,056","12,142,615","172,615,671","(182,293)","(51,256)","(233,549)","12,142,615","233,549","163,484"
"162,227,189
(769,118)","11,689,869
‑",‑,"804,258
(1,536)","(504,002)
‑",‑,"11,689,869
‑","(298,719)
‑","(209,103)
‑"
,,"173,917,058",,,"300,256",,,
,,"(769,118)",,,"(1,536)",,,
"161,458,071","11,689,869","173,147,940","802,722","(504,002)","298,720","11,689,869","(298,719)","(209,103)"
"167,681,026
(786,954)","12,224,558
‑",-,"6,258,095
(19,373)","30,687
‑",-,"12,224,558
‑","884,582
‑","619,208
‑"
,,"179,905,584",,,"6,288,782",,,
,,"(786,954)",,,"(19,373)",,,
"166,894,072","12,224,558","179,118,630","6,238,722","30,687","6,269,409","12,224,558","884,582","619,208"
