Column,Group,Column,Column,Column,Company,Column,Column,Column
,Stage 1,Stage 2,Stage 3,,Stage 1,Stage 2,Stage 3,
,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",Total,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",Total
,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
At 1 January 2022,"105,059","142,559","227,261","474,879","30,352","65,151","415,373","510,876"
Net staging transfers,-,-,-,-,-,-,-,-
"Changes in PDs/
LGDs/EADs","23,968","10,393","16,335","50,696","1,771",-,-,"1,771"
"Net charge to profit
or loss in the year","23,968","10,393",16335,"50,696","1,771",-,-,"1,771"
"At 31 December
2022","129,027","152,952","243,596","525,575","32,123","65,151","415,373","512,647"
Net staging transfers,-,-,-,-,,,,
"Changes in PDs/
LGDs/EADs",543,"1,164",-,"1,707","6,966",-,"(38,426)","(31,460)"
"Net charge to profit
or loss in the year",543,"1,164",-,"1,707","6,966",-,"(38,426)","(31,460)"
"At 31 December
2023","129,570","154,116","243,596","527,282","39,089","65,151","376,947","481,187"
