Use of funds,Notes,"Amount
Kshs million"
Regional expansion,1,"1,000"
"Development and expansion of operations
in the core Kenyan market",2,"1,280"
Property development,3,"2,500"
Redemption of debt,4,750
Expenses of the Offer,5,320
Total,,"5,850"
