Column,Year ended 31 December 2023,Column,Column,Column
(i) Life Risk,LRC,,"LIC
(Shs’000)","Total
(Shs’000)"
"Analysis by remaining coverage and incurred claims
- contracts not measured under PAA","Excluding loss
component
(Shs’000)","Loss
component
(Shs’000)",,
"Opening insurance contract assets
Opening insurance contract liabilities","15,134,760","194,553","1,686,922",
,,,,"17,016,235"
Net Opening balance,"15,134,760","194,553","1,686,922","17,016,235"
"Changes that relate to current services
CSM recognized for services provided
Change in risk adjustment for non-financial risk for
risk expired
Experience adjustments not related to future service","(359,281)
-
-
(359,281)","(56,464)
-
(56,464)
-","(635,162)
(635,162)
-
-","(1,050,907)"
,,,,"(635,162)"
,,,,"(56,464)"
,,,,"(359,281)"
Changes that relate to future services,"(1,336,503)","30,213","1,191,816","(114,474)"
Contracts initially recognized in the year,"(1,243,494)","66,301","1,191,968","14,775"
Changes in estimates that adjust the CSM,"29,988","(29,836)",(152),-
"Changes in estimates that relate to losses and reversal
of losses on onerous contracts","(122,997)","(6,252)",-,"(129,249)"
Changes that relate to past services,"(76,696)","(13,003)",-,"(89,699)"
"Experience adjustments in claims and other insurance
service expenses in LIC","(135,891)","(13,003)",-,"(148,894)"
Total insurance service result,"(1,772,480)","(39,254)","556,654","(1,255,080)"
Insurance finance income or expense,,,,
"The effect of and changes in time of time value of
money and financial risk","5,227,772","92,466","357,757","5,677,995"
Total insurance finance income or expense,"5,227,772","92,466","357,757","5,677,995"
"Total changes in the statement of financial perfor-
mance","3,455,292","53,212","914,411","4,422,915"
Cash flows (Actual cashflows in the period),,,,
Premiums and premium tax received,"7,206,235",-,-,"7,206,235"
"Claims and other insurance service expenses paid,
including investment components","(3,257,034)",-,-,"(3,257,034)"
Insurance acquisition cash flows,"(33,215)",-,-,"(33,215)"
Total Cash flows,"3,915,986",-,-,"3,915,986"
Net Closing balance,"22,506,038","247,765","2,601,333","25,355,136"
