Group,"31 December
2021","2021
Movement","31 December
2020","2020
Movement","31 December
2019"
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,"41,957
658,112
(63,914)
-
(9,242)
(45,631)
67,606
(680,516)
(928,963)",,"28,898
1,752,525
236,780
(18,548)
(223,135)
(33,478)
34,383
(2,032,248)
1,397,391",
,"(30,557)",,"(72,514)",,"(101,412)"
,"2,865,324",,"2,207,212",,"454,687"
,"1,462,286",,"1,526,200",,"1,289,420"
,-,,-,,"18,548"
,"(265,539)",,"(256,297)",,"(33,162)"
,"(79,109)",,"(33,478)",,-
,-,,"(67,606)",,"(101,989)"
,"(3,447,499)",,"(2,766,983)",,"(734,735)"
,"(3,266,591)",,"(2,337,628)",,"(3,735,019)"
,"(2,761,685)","(960,591)","(1,801,094)","1,142,568","(2,943,662)"
,,"-
(740,724)
(219,867)",,"896,053
-
246,515",
,-,,-,,-
,-,,-,,-
,-,,-,,-
,-,"(960,591)",,"1,142,568",
,,"(31,093)
(929,498)",,"(241,016)
1,383,584",
,"505,441",,"536,534",,"777,550"
,"(3,267,126)",,"(2,337,628)",,"(3,721,212)"
,"(2,761,685)","(960,591)","(1,801,094)","1,142,568","(2,943,662)"
