Column,Life Risk,"Life
Savings","Investment
contracts
with DPF",Non-Life,Total
Year ended 31 December 2023,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"The effect of time value of money and changes in
the time value of money, based on the locked-in
interest rates:","(2,137,526)","(3,120,757)","(2,104)","(877,044)","(6,137,431)"
"Interest accreted on the carrying amount of the CSM
Interest accreted on present value cash flows
Interest accreted on risk adjustment
The effect of financial risk and changes in financial risk
Foreign exchange differences on changes in the
carrying amount of groups of insurance contracts
Changes in fair value of underlying items of direct
participating contracts","(188,685)
(1,910,889)
(37,952)
1,464,685
-
-","(741,611)
(2,303,056)
(76,090)
2,878,797
-
-","-
(2,073)
(31)
(16)
-
(7,127,988)","(36,817)
(782,784)
(57,443)
255,423
(473,175)
-","(967,113)
(4,998,802)
(171,516)
4,598,889
(473,175)
(7,127,988)"
"Total insurance finance expense from insurance
contracts issued","(672,841)","(241,960)","(7,130,108)","(1,094,796)","(9,139,705)"
"The effect of time value of money and changes in
the time value of money, based on the locked-in
interest rates:
Interest accreted on present value cash flows
Interest accreted on risk adjustment
The effect of financial risk and changes in financial risk
Foreign exchange differences on changes in the
carrying amount of groups of insurance contracts","88,834
87,445
1,389
16,080
-","-
-
-
-
-","-
-
-
-
-","393,870
368,574
25,296
(82,116)
162,264","482,704
456,019
26,685
(66,036)
162,264"
"Total insurance finance expense from reinsurance
contracts held","104,914",-,-,"474,018","578,932"
Net insurance finance expenses,"(567,927)","(241,960)","(7,130,108)","(620,778)","(8,560,773)"
