Members,Column,Status,Attendance
"A
K.
(C","mb. Dr. Francis
Muthaura
hairman)","Independent
Non-Executive
Director",3/4
"Dr
M",". Peter K.
unga","Non-Executive
Director",3/4
"M
M","r. Jimnah M.
baru","Non-Executive
Director",3/4
"Dr
W",". Benson I.
airegi","Group Managing
Director",4/4
