-,-,"Government securities at fair value through profit & loss B+
Government securities at amortised cost B+
Corporate bond at fair value through profit or loss Group 2
Corporate bond at amortised cost Group 2
Unit trusts Group 2
Mortgage loans Group 2
Loans to policy holders Group 2
Receivables arising out of reinsurance arrangements Group 2
Receivables out of direct insurance arrangements Group 2
Reinsurers’ share of insurance contract liabilities Group 2
Retirement benefit asset Group 2
Receivables from related parties Group 2
Other receivables
Deposits with financial institutions Group 2
Cash and bank balances Group 2","565,093","176,562"
-,-,,"8,166,134","6,685,780"
-,"28,253",,-,"28,253"
-,-,,"591,920","508,358"
"189,748","175,709",,"8,066,022","6,064,687"
-,-,,"793,815","812,022"
-,-,,"376,778","309,455"
-,-,,"81,228","48,912"
-,-,,"1,053,931","540,599"
-,-,,"2,410,417","2,396,262"
-,-,,186,-
"672,881","11,702",,-,"5,075"
-,"75,685",,"626,201","381,130"
"1,131,647","1,395,236",,"2,591,418","1,975,913"
"34,863","6,101",,"617,196","415,814"
"2,029,139","1,692,686",Total,"25,940,339","20,348,822"
