Column,For the year ended 31 December,Column
Notes,2017,2016
,Shs’000,Shs’000
,"23,298,311",
,"(3,000,191)",
,"20,298,120",
,"760,630",
,"(607,261)",
,"5,053,975",
,"(88,308)",
,"1,413,141",
,"744,492",
,"261,885",
,"27,836,674",
,"11,024,447",
,"(2,385,116)",
,"3,859,430",
,"12,498,761",
,"2,462,961",
,"7,355,818",
,"1,186,147",
,"3,520,150",
,"27,023,837",
,"812,837",
,"53,006",
,"865,843",
,"(338,369)",
,"527,474",
,"517,431",
,"10,043",
