At 31 December 2019,"At amortised
cost","At fair value
through
profit or loss","At fair value
through other
comprehensive
income",Total
,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,,"11,587,595
9,649
42,758,237
-
3,396,349
-
-
-
-
-
-
-
-
-",,
,-,,"7,231,563",
,-,,-,
,"15,057,530",,-,
,"622,109",,-,
,-,,-,
,"1,624,170",,-,
,"34,688",,-,
,"1,171,693",,-,
,"1,511,273",,-,
,"502,722",,-,
,"1,689,488",,-,
,"80,608",,-,
,"6,810,651",,-,
,"885,606",,-,
,"29,990,538","57,751,830","7,231,563",
,,"42,515,955
3,002,142
-
-
-",,
,-,,-,
,-,,-,
,"2,352,716",,-,
,"1,319,214",,-,
,"2,886,175",,-,
,"6,558,105","45,518,097",-,
