Long-Term Business,31-Dec-14,"Restated
31-Dec-13"
,KSh 000s,KSh 000s
Adjusted Net worth :,"6,595,425","5,285,382"
Present Value of Inforce :,"4,785,885","3,772,916"
Cost of Required Capital :,"(375,020)","(286,360)"
Cost of Restriction on Surplus :,"(614,523)","(486,383)"
Embedded Value :,"10,391,767","8,285,555"
Return on Embedded Value:,34%,41%
