Column,As at 30 June 2013,Column,Column,Column,As at 31 December 2012,Column,Column
Figures in Shs’000,BRITAM,REAL,Pro forma,,BRITAM,REAL,Pro forma
,,,,"189,145 300,000 194,093
3,164,455 - 3,709,727
5,745,519 (6,884) 5,745,519
2,900,342 268,061 2,900,342
- 61,082 66,694
472,863 30,000 502,863",,,
,,,,"12,472,324 652,259 13,119,238",,,
