Column,Life Risk,"Life
Savings","Investment
contracts
with DPF",Non-Life,Total
Year ended 31 December 2023,Shs’000,Shs’000,Shs’000,Shs’000,Shs'000
"The effect of time value of money and changes in the time
value of money, based on the locked-in interest rates:","(2,137,526)","(3,120,757)","(2,104)","(877,044)","(6,137,431)"
Interest accreted on the carrying amount of the CSM,"(188,685)","(741,611)",-,"(36,817)","(967,113)"
Interest accreted on present value cash flows,"(1,910,889)","(2,303,056)","(2,073)","(782,784)","(4,998,802)"
Interest accreted on risk adjustment,"(37,952)","(76,090)",(31),"(57,443)","(171,516)"
"The effect of financial risk and changes in financial risk
Foreign exchange differences on changes in the carrying amount
of groups of insurance contracts
Changes in fair value of underlying items of direct participating
contracts","1,464,685","2,878,797",(16),"255,423","4,598,889"
,-,-,-,"(473,175)","(473,175)"
,-,-,"(7,127,988)",-,"(7,127,988)"
Total insurance finance expense from insurance contracts,"(672,841)","(241,960)","(7,130,108)","(1,094,796)","(9,139,705)"
"The effect of time value of money and changes in the time
value of money, based on the locked-in interest rates:
Interest accreted on present value cash flows","88,834",-,-,"393,870","482,704"
,"87,445",-,-,"368,574","456,019"
Interest accreted on risk adjustment,"1,389",-,-,"25,296","26,685"
The effect of financial risk and changes in financial risk,"16,080",-,-,"(82,116)","(66,036)"
"Foreign exchange differences on changes in the carrying amount
of groups of insurance contracts",-,-,-,"162,264","162,264"
Total insurance finance income from insurance contracts,"104,914",-,-,"474,018","578,932"
Net insurance finance expenses,"(567,927)","(241,960)","(7,130,108)","(620,778)","(8,560,773)"
