As at 31 December,Column,Column,Column
,,2019,2018
,Notes,Shs’000,Shs’000
,,"252,344
13,237,451
17,112,694
(1,306,941)",
,16,,"252,344"
,16,,"13,237,451"
,17,,"11,756,927"
,18,,"(1,387,488)"
,,"29,295,548","23,859,234"
,26 (iii),"81,278","96,936"
,,"29,376,826","23,956,170"
,,"1,134,752
2,099,919
752,613
2,870,170
1,558,433
777,550
168,038
15,762,202
652,291
7,231,563
57,751,830
15,679,639
1,171,693
1,511,273
502,722
1,689,488
3,742,258
525,997
1,624,170
381,045
80,608
7,575,311",
,21,,"1,365,422"
,22,,"2,122,184"
,23 (i),,-
,24 (i),,"2,923,611"
,26 (i),,"1,558,433"
,36,,"633,484"
,48,,"210,796"
,27 (i),,"15,927,529"
,27 (ii),,"575,021"
,28,,"4,710,653"
,29,,"39,281,935"
,30,,"16,157,018"
,31,,"1,209,394"
,32,,"1,301,118"
,33 (i),,"703,320"
,33 (iii),,"2,317,194"
,34,,"3,145,058"
,35,,"482,053"
,37,,"1,944,610"
,25 (b),,"320,498"
,38 (ii),,"45,601"
,38 (i),,"6,721,401"
,,"125,243,565","103,656,332"
,,"3,721,212
33,784,402
42,515,955
3,002,142
5,357,764
844,046
1,319,214
2,352,716
2,886,175
83,113",
,36,,"2,831,319"
,39,,"28,221,461"
,43,,"34,174,911"
,44,,"3,003,326"
,45,,"4,696,248"
,23 (ii),,-
,33 (ii),,"1,252,887"
,14,,"2,786,861"
,46,,"2,726,947"
,25 (b),,"6,202"
,,"95,866,739","79,700,162"
,,"29,376,826","23,956,170"
