31 December 2019,Carrying,0-3,4-12,1-5,Over 5,Total
,values,Months,Months,Years,Years,
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,,
Insurance contract liabilities,"33,784,402","(254,333)","(281,041)","10,969,829","55,553,048","65,987,503"
"Amounts payable under deposit
administration contracts","42,515,955","1,971,207","3,942,414","41,616,759","115,250,939","162,781,319"
"Liabilities under investment
Contracts","3,002,142","(47,025)","8,387","3,269,932","1,110,873","4,342,167"
"Creditors arising out of reinsurance
arrangements","1,319,214","1,319,214",-,-,-,"1,319,214"
Borrowings:,,,,,,
- Bank loan,"375,000",-,"375,000",-,-,"375,000"
- Other borrowings,"1,382,952",-,-,"1,382,952",-,"1,382,952"
Interest payable,"594,764","594,764",,-,-,"594,764"
Other payables,"2,886,175","2,886,175",-,-,-,"2,886,175"
Total financial liabilities,"85,860,604","6,470,002","4,044,760","57,239,472","171,914,860","239,669,094"
