Roles & Responsibilities,Membership
"• Determines the Group’s investment strategy and
policy
• Considers the proposed strategic investments and
make recommendations to the Board
• Maintains interactive strategic planning,
implementation and monitoring process with
management.
• Monitors and reviews the performance,
independence and objectivity of the external
auditors.
• Make recommendations to the Board on the
appointment of the external auditor.
• Ensures the Group’s compliance with legal and
regulatory requirements.","• Mr. George Odo ‑ Chairman
• Dr. Peter K. Munga
• Mr. Jimnah Mbaru
• Mr. Kuria Muchiru
• Mr. Lofti Baccouche
• Mr. Tom Gitogo
As at 31st December 2025 the Committee was com‑
prised of five (5) Non-Executive Directors, the Group
Managing Director and the Company Secretary. The
Group Finance & Strategy Director is a standing invitee"
Focus Areas FY 2025,
"• Mergers, acquisitions and disposals
• Capital Raising Updates
• Strategy updates
• Performance Updates
• Properties / Assets Updates","• International Business
• Investment updates
• Capital Management
• Environmental, Social, Governance and Sustain‑
ability"
