Column,Column,Column,"5,229,955","5,393,968",Column
,,,"(212,568)","(467,465)",
,,,"5,017,387","4,926,503",
,,,"(354,708)","(434,624)",
,,,"(480,897)","(903,558)",
,,,-,"(1,946,667)",
,,,-,"(14,625)",
,,,"(763,776)","(549,795)",
,,,"(2,268,034)","(1,419,422)",
,,,"46,374","2,009",
,,,"2,799,261","857,904",
,,,"(1,563,126)",-,
,,,"(941,026)","(538,916)",
,,,"661,694","923,815",
,,,(54),"(3,952)",
,,,"(860,689)","1,139,295",
,,,"(1,520,596)","(286,839)",
,,,"(3,160,941)","(5,154,049)",
,,,"417,650","(471,187)",
,,,"(298,368)","(196,727)",
,,,"207,016","152,011",
,,,"(851,501)","(509,863)",
,,,"582,108",,"419,419"
,,,"108,687",,"277,403"
,,,"468,834",,"245,462"
,,,"332,777",,"413,015"
,,,"2,968,804","1,973,308",
t cash used in investing activiti,es,,"(4,470,511)","(6,026,583)",
"ancing activities
idends paid
rrowing
erest paid",,"22
16
16",,,
,,,"(581,525)","(581,525)",
,,,"2,176,064","400,000",
,,,"(941,651)","(792,329)",
,,es,"652,888","(973,854)",
,,,"1,199,764","(2,073,934)",
,,,"4,767,253","6,841,187",
,,,"5,967,017","4,767,253",
