Column,Names,Roles,Shares
1,Mr. Jimnah M. Mbaru,Director,"194,800,100"
2,Dr. Peter K. Munga,Director,"75,000,000"
3,Mr. Mohamed S. Karama,Director,-
4,Ms. Caroline J. Kigen,Director,-
5,Ms. Marianne Loner,Director,-
6,Africinvest III SPV,Director,"442,779,881"
7,Mr. Edouard Schmid,Director,-
9,Ms. Josephine Ossiya,Director,-
10,Mr. Kuria Muchiru,Chairman,-
