Column,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At start of year,"1,573,543","754,461","327,458","94,495","16,174"
Additions,"756,045","829,082","428,767","249,137","78,321"
Maturities,"(220,374)","(10,000)","(1,764)","(16,174)",-
,"2,109,214","1,573,543","754,461","327,458","94,495"
