Column,Life Risk,Life Savings,Non-Life,Total
Year ended 31 December 2024,Shs’000,Shs’000,Shs’000,Shs’000
Allocation of the premiums paid,"(378,772)","(10,890)","(8,928,502)","(9,318,164)"
Amounts recovered from reinsurance:,"660,811",-,"3,458,840","4,119,651"
"Incurred insurance service expenses:
Claims
Expenses","343,778
624,154
(677,578)","-
-
-","4,200,962
4,056,365
-","4,544,740
4,680,519
(677,578)"
Other movements related to current service,"397,202",,"144,597","541,799"
"Changes that relate to past service (changes in
fulfilment cash flows reinsurance liability for incurred
claims):","357,978",-,"(713,531)","(355,553)"
"Changes in estimates in liability for incurred claims
fulfilment cash flows","503,332",-,"2,711,943","3,215,275"
"Experience adjustments in claims and other insurance
service expenses in liability for incurred claims","(145,354)",-,"(3,425,474)","(3,570,828)"
"Changes that relate to future service:
Loss recovery related to losses on underlying insurance
contracts at initial recognition
Loss recovery and reversals of recoveries related to
underlying insurance contracts losses - subsequent
measurement","(5,116)
-
(5,116)","-
-
-","6,491
50,249
(43,758)","1,375
50,249
(48,874)"
Changes in risk of non-performance,"(35,829)",-,"(35,082)","(70,911)"
Total net expenses from reinsurance contracts,"282,039","(10,890)","(5,469,662)","(5,198,513)"
Year ended 31 December 2023,,,,
Allocation of the premiums paid,"(1,208,741)","(18,066)","(8,342,771)","(9,569,578)"
Amounts recovered from reinsurance:,"1,117,827",-,"2,620,626","3,738,453"
"Incurred insurance service expenses:
Claims
Other movements related to current service","987,457
862,154
125,303","-
-
-","3,476,935
3,452,790
24,145","4,464,392
4,314,944
149,448"
"Changes that relate to past service (changes in
fulfilment cash flows):
Changes in estimates in LIC fulfilment cash flows
Experience adjustments in claims and other insurance
service expenses in liability for incurred claims
Changes that relate to future service:
Loss recovery related to losses on underlying insurance
contracts at initial recognition
Loss recovery and reversals of recoveries related to
underlying insurance contracts losses - subsequent
measurement","(87,152)
261,300
(348,452)
224,719
134,611
90,108","-
-
-
-
-
-","(733,581)
3,962,518
(4,696,099)
(85,569)
114,068
(199,637)","(820,733)
4,223,818
(5,044,551)
139,150
248,679
(109,529)"
Changes in risk of non-performance,"(7,197)",-,"(37,159)","(44,356)"
Total net expenses from reinsurance contracts,"(90,914)","(18,066)","(5,722,145)","(5,831,125)"
