"31 December
2020","2020
Movement","31
December
2019","2019
Movement","31
December
2018"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"28,898
1,752,525
236,780
-
(18,548)
(223,135)
(33,478)
34,383
(2,032,248)
1,397,391",,"(14,871)
211,018
266,515
(193,760)
18,548
(33,162)
-
20,679
(82,185)
(938,611)",
"(72,514)",,"(101,412)",,"(86,541)"
"2,207,212",,"454,687",,"243,669"
"1,526,200",,"1,289,420",,"1,022,904"
,,-,,"193,760"
-,,"18,548",,-
"(256,297)",,"(33,162)",,-
"(33,478)",,-,,-
"(67,606)",,"(101,989)",,"(122,669)"
"(2,766,983)",,"(734,735)",,"(652,550)"
"(2,337,628)",,"(3,735,019)",,"(2,796,408)"
"(1,801,094)","1,142,568","(2,943,662)","(745,829)","(2,197,835)"
,"896,053
-
246,515",,"-
(507,996)
(237,832)",
-,,-,,-
-,,-,,-
-,,-,,-
-,"1,142,568",-,"(745,828)",-
,"(241,016)
1,383,584",,"(144,066)
(889,893)",
"536,534",,"777,550",,"633,484"
"(2,337,628)",,"(3,721,212)",,"(2,831,319)"
"(1,801,094)","1,142,568","(2,943,662)","(745,827)","(2,197,835)"
