Column,Board Sub-Committees,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,"Holding
Company",Audit,"Risk &
Compliance","Investments
& Strategy
(Holding Co.)","Nominations
& Govern-
ance",Property,"ICT
Steering","Compensation
& HR","Procure-
ment","Total
Meetings
Held","Total
Attended","%
Attend-
ance"
Meetings Held,7,4,2,6,7,5,2,5,2,40,,
"J. Nicholas Ashford
-Hodges ( Resigned
28th Nov. 2013)",7,N/A,N/A,6,7,N/A,N/A,5,N/A,25,25,100%
"Amd. Dr. Francis K
Muthaura (Appointed
15th August 2013)",4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,100%
Peter K. Munga,5,2,N/A,6,6,5,N/A,4,1,35,29,83%
Jimnah Mbaru,6,N/A,N/A,2,5,2,N/A,N/A,N/A,25,15,60%
Benson I. Wairegi,7,N/A,N/A,6,N/A,5,2,N/A,N/A,20,20,100%
Dr. James N. Mwangi,2,2,N/A,3,N/A,N/A,0,N/A,N/A,18,7,39%
"Saleem R. Beebeejan
(Resigned 22nd May
2013)",0,0,1,0,N/A,N/A,N/A,N/A,N/A,4,1,25%
Bocar E. Dia,6,,2,N/A,6,N/A,N/A,5,N/A,21,19,90%
Nduva Muli,5,2,2,N/A,N/A,4,2,1,1,24,17,71%
"Tarun Ghulati (Appoint-
ed 23rd May 2013)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,75%
"Moussa I. Rawat
(Appointed 28th August
2013)",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50%
Agnes N. Odhiambo,4,4,N/A,N/A,N/A,N/A,N/A,N/A,2,13,10,77%
"Dawood A. Rawat
(Appointed 29th
November 2013)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
