Column,6 months to 30 Jun 2013,Column,Column,Column,12 months to 31 Dec 2012,Column,Column
Figures in Shs’000,BRITAM,REAL,Pro forma,,BRITAM,REAL,Pro forma
,,,,"6,849,692 3,744,443 10,594,135
(893,001) (1,601,426) (2,494,427)",,,
,,,,"5,956,691 2,143,017 8,099,708
377,208 - 377,208
1,971,016 107,809 2,078,825
45,554 - 45,554
3,032,092 - 3,032,092
307,639 389,191 696,830
53,184 63,581 116,765",,,
,,,,"11,743,384 2,703,598 14,446,982",,,
,,,,"4,282,914 1,878,475 6,161,389
(1,803,019) (654,969) (2,457,988)
1,189,436 - 1,189,436",,,
,,,,"3,669,331 1,223,506 4,892,837
1,608,828 371 1,609,199
2,286,578 836,438 3,123,016
1,476,086 437,501 1,913,587
- 5,517 5,517",,,
,,,,"9,040,823 2,503,333 11,544,156",,,
,,,,"2,702,561 200,265 2,902,826
146,845 - 146,845",,,
,,,,"2,849,406 200,265 3,049,671
(329,945) (93,500) (423,445)",,,
,,,,"2,519,461 106,765 2,626,226",,,
