Column,"% holding in
equity shares",2010,2009,2008,2007,2006
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
"British-American Insurance
Company (Kenya) Limited",100,"480,000","480,000","450,000","300,000","150,000"
"British-American Asset
Managers Limited",100,"80,000","80,000","30,000","30,000","30,000"
"Britam Insurance Company
(Uganda) Limited",100,"200,000",-,-,-,-
,,"760,000","560,000","480,000","330,000","180,000"
