Company,Column,Assets,"Credit
rating
2017
2016",Group,Column
2017,2016,,,,
Shs’000,Shs’000,,,Shs’000,Shs’000
-,"Government securities at fair value through
- profit or loss B+
Government securities held at amortised
- cost B+
Receivables arising out of reinsurance
- arrangements AA-
- Corporate bonds at amortised cost Group 2
- Unit trusts Group 2
737,493 Investments in property funds Group 2
- Mortgage loans and receivables Group 2
- Loans and receivables to policy holders Group 2
Receivables out of direct insurance
- arrangements Group 2
Reinsurers’ share of insurance contract
- liabilities Group 2
169,176 Receivables from related parties Group 2
1,206,936 Other receivables (excluding prepayments) Group 2
Deposits with financial
401,282 institutions Group 2
- Restricted cash Group 2
937,055 Investment in liquid funds Group 2
Cash and bank balances
49,877 (excluding cash in hand) Group 2",,,"14,494,640",
-,,,,"16,200,057",
-,,,,"645,487",
-,,,,"1,218,485",
-,,,,"5,807,945",
"939,773",,,,"9,271,750",
-,,,,"1,178,307",
-,,,,"1,076,466",
-,,,,"2,161,466",
-,,,,"3,726,914",
"343,991",,,,-,
"645,347",,,,"1,473,578",
"771,434",,,,"4,554,775",
-,,,,"47,191",
"869,180",,,,"869,180",
"39,263",,,,"2,993,115",
"3,608,988","3,501,819 Total",,,"65,719,356",
