For the year ended,Column,Column,Column
,,2021,2020
,Notes,Shs’000,Shs’000
,,"1,602,478
(92,426)
(246,521)",
,47,,"(1,065,832)"
,23 (ii),,"(120,970)"
,,,"(447,388)"
,,"1,263,531","(1,634,190)"
,,"(128,534)
(101,568)",
,21,,"(119,254)"
,22,,"(136,637)"
,,"(230,102)","(255,891)"
,,"-
-
(525,000)
(334,411)
(172,533)",
,,,"(630,872)"
,14 (i),,"4,675,000"
,14 (i),,"(1,876,274)"
,14 (i),,"(150,682)"
,23 (ii),,"(204,402)"
,,"(1,031,944)","1,812,770"
,,"1,485
7,498,000","(77,311)"
,,,"7,575,311"
,38 (i),"7,499,485","7,498,000"
