31 December 2020,"Carrying
values",0-3 Months,4-12 Months,1-5 Years,Over 5 Years,Total
Liabilities,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
,"48,736,148","2,199,983
(209,842)
1,609,954
-
-
683,859
-
3,661,010","4,399,966","46,446,749
4,253,842
-
-
-
-
690,003
5,317,237","128,626,821",
,"3,285,010",,"(440,149)",,"1,511,375",
,"1,609,954",,-,,-,
,"3,175,000",,"3,175,000",,-,
,"996,064",,"996,064",,-,
,"683,859",,-,,-,
,"690,003",,-,,-,
,"8,978,247",,-,,-,
,"68,154,285","7,944,964","8,130,881","56,707,831","130,138,196",
