Column,Life Risk,"Life
Savings","Investment
contracts
with DPF",Non-Life,Total
Year ended 31 December 2024,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"Incurred insurance service expenses:
Claims
Expenses
Other movements related to current service","(2,728,903)
(2,713,477)
(16,970)
1,544","(3,544,653)
(114,326)
(3,430,280)
(47)","(986,183)
(147,602)
(838,537)
(44)","(18,350,614)
(13,900,936)
(4,591,086)
141,408","(25,610,353)
(16,876,341)
(8,876,873)
142,861"
"Amortisation of insurance acquisition
cash flows","(812,215)",-,-,"(3,909,189)","(4,721,404)"
"Changes that relate to past service:
Changes in estimates in liability for incurred
claims fulfilment cash flows
Experience adjustments in claims and
other insurance service expenses in liability
for incurred claims","346,696
(883,370)
1,230,066","272,263
165,087
107,176","18,963
14,618
4,345","661,585
(3,037,884)
3,699,469","1,299,507
(3,741,549)
5,041,056"
"Changes that relate to future service:
Losses for the net outflow recognized on
initial recognition
Losses and reversal of losses on onerous
contracts - subsequent measurement","747,170
(508,805)
1,255,975","217,773
(206,385)
424,158","(349,642)
(357,107)
7,465","1,125,699
(495,990)
1,621,689","1,741,000
(1,568,287)
3,309,287"
Total insurance service expenses,"(2,447,252)","(3,054,617)","(1,316,862)","(20,472,519)","(27,291,250)"
Year ended 31 December 2023,,,,,
"Incurred insurance service expenses:
Claims
Expenses
Other movements related to current service","(3,695,480)
(1,491,692)
(2,170,865)
(32,923)","(1,291,132)
(138,098)
(1,152,101)
(933)","(771,480)
(10,757)
(760,705)
(18)","(16,109,846)
(11,938,905)
(4,316,704)
145,763","(21,867,938)
(13,579,452)
(8,400,375)
111,889"
"Amortisation of insurance acquisition
cash flows","(1,077,465)",-,-,"(3,595,384)","(4,672,849)"
"Changes that relate to past service:
Changes in estimates in liability for incurred
claims fulfilment cash flows
Experience adjustments in claims and other
insurance service expenses in liability for
incurred claims","14,418
(358,394)
372,812","(81,969)
(213,365)
131,396","10,291
(1,090)
11,381","731,412
(4,134,481)
4,865,893","674,152
(4,707,330)
5,381,482"
"Changes that relate to future service
Losses for the net outflow recognized on initial
recognition
Losses and reversal of losses on onerous con-
tracts - subsequent measurement","(637,759)
(215,051)
(422,708)","(1,049,218)
(129,777)
(919,441)","(109,820)
(51,967)
(57,853)","808,584
(552,405)
1,360,989","(988,213)
(949,200)
(39,013)"
Total insurance service expenses,"(5,396,286)","(2,422,319)","(871,009)","(18,165,234)","(26,854,848)"
