Column,Column,Column,Column,"14,453,826"
,,,,"9,619"
,,,,"40,011,343"
,,,,"944,194"
,,,,"4,730,625"
,,,,"8,850,953"
,,,,"1,944,610"
,,,,"1,063,596"
,,,,"1,209,394"
,,,,"1,301,118"
,,,,"703,320"
,,,,"2,317,194"
,,,,"45,601"
,,,,"3,216,913"
,,,,"2,691,928"
Total financial assets,"30,650,692","48,132,889","4,710,653","83,494,234"
,,,,"28,211,945"
,,,,"34,174,911"
,,,,"3,003,326"
,,,,"2,786,861"
,,,,"1,252,887"
,,,,"2,726,948"
Total financial liabilities,"34,978,641","37,178,237",-,"72,156,878"
,,,,"5,972,976"
,,,,"759,164"
,,,,"47,902"
,,,,"869,180"
,,,,"1,223,834"
,,,,"437,804"
,,,,"9,328"
Total financial assets,"2,582,278","3,631,633","3,100,507","9,320,186"
,,,,"1,174,807"
,,,,"337,380"
,,,,"311,645"
Total financial liabilities,"1,823,832",-,-,"1,823,832"
