No,2018 Strategic Initiatives,What we plan to do
1,Improve our client and market intelligence,"• Engage our client through focused group discussions
• Automate data collection and validation to enable business and
operations teams to have better insights in order to improve
customer service."
2,Revamp our go-to-market strategy,"• Revamp our go-to-market strategy for our 3 key businesses Asset
Management, Life and General Insurance with the aim of achieving a
360-degree connected customer experience for our clients."
3,Launch new products and services,"• Based on our customer feedback and market intelligence -
Production rationalization/clean-up across the business and
introduction of innovative products that are geared towards a
specifi c customer segment."
4,Innovative Partnerships and Direct Channels,"• Enhance our user experience on Web & USSD.
• Enhance payments and & collection capability through e-commerce .
• Enhance partner portal & support for direct business."
5,Outstanding Customer Experience,"• Further improve our TAT times by integrating workfl ow management,
auto-reconciliation of payments, introduction of intelligent process
automation through robotics."
6,Innovative Culture,"• Build an innovative organization culture through ensuring ready
access to data, carrying out innovation challenges, redefi ning
metrics and incentives and creating an environment that
accepts experimentation."
