"2,353,596","1,538,124",‑,‑
"19,005,324","9,981,314",‑,‑
"55,881,686","66,057,833","12,871","12,896"
"77,240,606","77,577,271","12,871","12,896"
"77,577,271","67,565,981","12,896","54,340"
"62,880","(399,469)",‑,‑
"4,752,432","14,009,573","1,778","4,621"
"(5,151,977)","(3,598,814)","(1,803)","(46,065)"
"77,240,606","77,577,271","12,871","12,896"
"(178,693)","(164,824)",(29),(29)
"77,061,913","77,412,447","12,842","12,867"
"164,824","42,765",29,35
"13,869","122,059",‑,(6)
"178,693","164,824",29,29
