Shs’ million,Dec’ 2014,Column,Dec’ 2013,% change
Gross Revenue,"14,742",,"9,461",56%
Earned Income,"12,488",,"8,365",49%
Investment income,"7,580",,"6,348",19%
Other Income,625,,418,50%
Total Income 0.6,"20,692",,"15,130",37%
"Keny
Net Claims payable","a 2.6%
(8,023)",,"(4,903)",64%
Interest/unit gai1n.0%,"(2,036)",,"(2,205)",-8%
"1.0%
Commission payable","(2,713)",,"(1,873)",45%
Operating expenses,"(4,616)",,"(3,211)",44%
"Finance costs
Tanzania 1.0","(350)
%",,-,-
Share of profit of associates,775,,182,326%
Profit before tax,"3,728",,"3,121",19%
Income tax,,(888),(805),10%
Profit after tax,,"2,840","2,315",23%
Comp. Income,,"6,364","3,650",74%
