Column,"193,841","193,841",Column
,"4,263,412","4,263,412",
,"2,011,516","3,262,638",
,"2,215,237","4,336,760",
,"581,525","581,525",
areholders’ funds,"9,265,531","12,638,176",
"PRESENTED BY:
sets
perty and equipment 23
angible assets 24
estment in associate 25 (i)
estment in subsidiary companies 27 (ii)
estment in property funds 28 (ii)
oted ordinary shares at fair value through other
omprehensive income 29
oted ordinary shares at fair value through profit or loss 30
ceivables from related parties 53
her receivables 38
sh and cash equivalents 39 (i)",,,
,"43,708","41,030",
,"144,057","93,989",
,"2,518,386","2,666,746",
,"7,307,383","6,875,849",
,"737,493","471,421",
,"2,939,016
2,472,707","6,283,112
3,296,942",
,"169,176","354,649",
,"1,207,110","1,046,609",
,"1,388,214","88,024",
tal assets,"18,927,250","21,218,371",
"bilities
rrowings 16
ounts due to related parties 53
her payables 47",,,
,"8,139,108",6,",968,161"
,"1,133,951",1,",438,866"
,"388,660",,"173,168"
tal liabilities,"9,661,719",8,",580,195"
t assets,"9,265,531","12,638,176",
