Column,Life Risk,Life Savings,"Investment
contracts with
DPF",Non-Life,Total
Year ended 31 December 2023,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
Incurred insurance service expenses:,"(3,695,480)","(1,291,132)","(771,480)","(16,109,846)","(21,867,938)"
Claims,"(1,491,692)","(138,098)","(10,757)","(11,938,905)","(13,579,452)"
"Expenses
Other movements related to current service","(2,170,865)","(1,152,101)","(760,705)","(4,316,704)","(8,400,375)"
,"(32,923)",(933),(18),"145,763","111,889"
Amortisation of insurance acquisition cash flows,"(1,077,465)",-,-,"(3,595,384)","(4,672,849)"
"Changes that relate to past service:
Changes in estimates in LIC fulfilment cash flows
Experience adjustments in claims and other
insurance service expenses in LIC","14,418","(81,969)","10,291","731,412","674,152"
,"(358,394)","(213,365)","(1,090)","(4,134,481)","(4,707,330)"
,"372,812","131,396","11,381","4,865,893","5,381,482"
"Changes that relate to future service:
Losses for the net outflow recognized on initial
recognition
Losses and reversal of losses on onerous contracts
- subsequent measurement","(637,759)","(1,049,218)","(109,820)","808,584","(988,213)"
,"(215,051)","(129,777)","(51,967)","(552,405)","(949,200)"
,"(422,708)","(919,441)","(57,853)","1,360,989","(39,013)"
Total insurance service expenses,"(5,396,286)","(2,422,319)","(871,009)","(18,165,234)","(26,854,848)"
Year ended 31 December 2022,,,,,
Incurred insurance service expenses:,"(2,271,293)","(1,347,787)","(777,797)","(10,918,168)","(15,315,045)"
Claims,"(720,364)","(162,261)","(8,664)","(7,864,584)","(8,755,873)"
Expenses,"(1,578,464)","(1,181,928)","(769,126)","(3,547,245)","(7,076,763)"
Other movements related to current service,"27,535","(3,598)",(7),"493,661","517,591"
Amortisation of insurance acquisition cash flows,"(195,588)",-,-,"(2,491,270)","(2,686,858)"
Changes that relate to past service:,"(124,718)","(157,180)","(8,959)","(1,045,999)","(1,336,856)"
Changes in estimates in LIC fulfilment cash flows,"(200,287)","(157,180)","(8,959)","(4,292,501)","(4,658,927)"
"Experience adjustments in claims and other
insurance service expenses in LIC","75,569",-,-,"3,246,502","3,322,071"
Changes that relate to future service,"(385,533)","(182,273)","(280,451)","(368,190)","(1,216,447)"
"Losses for the net outflow recognized on initial
recognition","(1,554,703)","(118,433)",-,"(970,320)","(2,643,456)"
"Losses and reversal of losses on onerous contracts
- subsequent measurement","1,169,170","(63,840)","(280,451)","602,130","1,427,009"
Total insurance service expenses,"(2,977,132)","(1,687,240)","(1,067,207)","(14,823,627)","(20,555,206)"
