Column,As at 31 December,Column
Notes,2017,2016
,Shs’000,Shs’000
,"216,260",
,"7,706,782",
,"2,991,865",
,"935,124",
,"756,911",
,"12,606,942",
,"34,678",
,"127,223",
,"2,021,628",
,"6,840,544",
,"939,774",
,"3,536,446",
,"3,297,287",
,"343,991",
,"652,818",
,"1,679,877",
,"19,474,266",
,"6,562,982",
,"206,409",
,"97,933",
,"6,867,324",
,"12,606,942",
