Assets,"External
credit rating","Internal
Credit rating","12-month or
lifetime ECL",2018,2017
,,,,Shs’000,Shs’000
"Government securities at fair value
through profit or loss",B+,-,12,"24,798,519","14,494,640"
"Government securities held at amortised
cost",B+,-,12,"15,212,824","16,200,057"
"Receivables arising out of reinsurance
arrangements",AA-,-,12,"703,310","645,487"
Corporate bonds at amortised cost,-,Group 2,12,"944,194","1,218,485"
Unit trusts,-,Group 2,12,"4,730,625","5,807,945"
Investments in property funds,-,Group 2,12,"8,850,953","9,271,750"
Mortgage loans and receivables,-,Group 2,12,"1,209,394","1,178,307"
Loans and receivables to policy holders,-,Group 2,Nil,"1,301,118","1,076,466"
"Receivables out of direct insurance
arrangements",-,Group 2,Life time,"2,317,194","2,161,466"
"Reinsurers’ share of insurance contract
liabilities",-,Group 2,Nil,"3,145,058","3,726,914"
"Other receivables (excluding
prepayments)",-,Group 2,"Mix of both life
time & 12","1,733,439","955,082"
Deposits with financial institutions,-,Group 2,12,"3,216,913","4,554,775"
"Cash and bank balances (excluding
cash in hand)",-,Group 2,12,"2,691,928","2,990,200"
Total,,,,"70,855,469","64,281,574"
