Column,"189,145"
,"3,164,455"
,"335,122"
,"2,817,317"
,"472,863"
Shareholders’ funds,"6,978,902"
"REPRESENTED BY:
Assets
Property and equipment 17
Intangible assets 18
Investment in subsidiary companies 20
Available for sale quoted investments 22(i)
Financial assets at fair value through profit or loss
– Quoted ordinary shares 22(ii)
– Unit trusts 24
– Corporate bond 25(i)
Receivables from related parties 32
Other receivables 33
Deposit with financial institutions
Cash and bank balances",
,"9,041"
,"3,356"
,"1,050,000
1,549,122"
,"3,344,775"
,"175,709"
,"28,253"
,"11,702"
,"75,685"
,"1,395,236"
,"6,101"
Total assets,"7,648,980"
"Liabilities
Amounts due to related parties 32
Bank loan 46
Other payables 48",
,"649,022
-"
,"21,056"
Total liabilities,"670,078"
Net assets,"6,978,902"
