Column,Dec-16,Dec-15,Growth
Shs 000s Shs 000s %,,,
"Adjusted Net Worth (ANW) 6,453,340 4,484,936 44%",,,
"Value of Inforce (VIF) 4,640,037 6,056,059 -21%",,,
"Embedded Value: 11,093,377 10,540,993 7%",,,
Return on EV: 7.2% 11.4% -3%,,,
"Value of New Business (VNB) 563,164 464,740 24%",,,
