Column,"2,220,872","(5,717)","2,215,155",Column,Column,Column
,"7,306,102","(18,807)","7,287,295",,,
,"2,306,431","(203,491)","2,102,940",,,
,"11,833,405","(228,015)","11,605,390",,,
,"592,209","(490,191)","102,018",,,
,"1,357,124","(872,079)","485,045",,,
,"614,870","(465,975)","148,895",,,
,"4,305,511","(305,816)","3,999,695",,,
,"3,870,716","(560,855)","3,309,861",,,
,"689,516",29,"689,545",,,
,"302,553","(26,821)","275,732",,,
,"341,882","(187,942)","153,940",,,
,"240,113","(18,077)","222,036",,,
,"177,212","(107,709)","69,503",,,
,"12,491,706","(3,035,436)","9,456,270",,,
,"24,325,111","(3,263,451)","21,061,660",,,
,"120,300",-,"120,300",,,
,"420,867",-,"420,867",,,
,"90,949",-,"90,949",,,
,"23,137",-,"23,137",,,
,"5,860",-,"5,860",,,
,"661,113",-,"661,113",,,
Gross revenue,"24,986,224","(3,263,451)","21,722,773","24,058,941","(3,000,191)","21,058,750"
