Column,"193,841","193,841",Column,Column
,"4,263,412","4,263,412",,
,"11,874,244","10,424,977",,
,"897,351","2,221,480",,
,"581,525","581,525",,
,"17,810,373","17,685,235",,
,"67,223",,"(10,78",7)
,"17,877,596","17,674,4",,48
,"1,691,591","1,749,4",,57
,"1,989,351","1,751,8",,04
,"6,308,503","6,821,3",,27
,"1,558,433","1,558,4",,33
,"388,120","370,3",,02
,"168,841","174,5",,93
,"4,890,775
8,616,740","3,602,4
5,938,5",,"38
67"
,"4,325,082","7,012,4",,99
,"18,397,260","17,312,3",,66
,"18,640,422","15,910,9",,36
,"1,179,022","994,2",,81
,"834,382","614,6",,63
,"1,104,021","804,4",,45
,"2,389,703","2,291,3",,19
,"2,679,371","3,444,3",,36
,"458,201
1,813,158","540,2
1,652,8",,"25
12"
,"196,567","273,4",,88
,"46,049","46,8",,08
,"5,967,017","4,767,2",,53
sets,"83,642,609","77,632,3",,52
,"3,394,778","2,094,5",,84
,"18,744,957","21,786,7",,44
,"21,839,735","14,964,0",,27
,"4,910,059","5,486,1",,94
,"4,360,351","5,261,1",,70
,"544,754","800,2",,63
,"11,708",,"6,0",07
,"9,379,826","6,968,161",,
,"2,443,573","2,553,317",,
,"135,272","37,437",,
,"65,765,013","59,957,904",,
,"17,877,596","17,674,448",,
