Investment Fund,Risk Profile,Investment Objective,Investment Policy
"British-American
Money Market
Fund",Low,"• High short term current income
• Preservation of capital
• Capital appreciation","High quality fixed income securities of
various terms"
"British-American
Income Fund","Low to
medium","• High level of current income
• Preservation of capital
• Capital appreciation in the short
to medium term","High quality fixed income securities of
various terms"
"British-American
Managed
Retirement Fund",Medium,"• Long term capital growth
• Reasonable level of income
• Maintain a balanced investment
portfolio","Diversified mix of equities of quality
businesses listed on the local and
international exchanges
High quality fixed income securities"
"British-American
Balanced Fund",Medium,"• High level of current income
• Capital appreciation
• Ensure stability by limiting
downside risk over the medium
term","Diversified mix of equities of quality
businesses listed on the local and
international exchanges
High quality fixed income securities"
"British-American
Equity Fund",Aggressive,"• Protect capital
• Achieve superior returns over the
long term","Diversified mix of equities of quality
businesses listed on the local and
international exchanges"
