Group,Column,Company,Column
2020,2019,2020,2019
Shs’000,Shs’000,Shs’000,Shs’000
"(9,697,610)","4,571,023
312,339
220,007
409,169
747,036
(7,713,830)
(477,661)
(4,300,055)
84,302
53,099
234,667
-
155,634
-
627,705
-
(597,200)
200,597
661,516
42,757
159,274
(43,944)
320,440
-
5,562,940
(1,185)
8,341,044
66,327
-
(35,007)","(8,466,508)",
"209,720",,"35,019",
"255,469",,"60,921",
"433,847",,"26,678",
"1,470,336",,"(139,085)",
"(9,397,384)",,"(1,008,413)",
"71,156",,"3,648",
"2,466,634",,"2,795,654",
"273,766",,-,
"823,049",,"331,302",
"361,547",,"345,437",
"(1,474)",,-,
"21,594",,"2,657",
-,,-,
"(235,243",,-,
-,,"318,036",
"(1,198,596)",,-,
"(269,618)",,-,
"1,504,600",,-,
"33,812",,-,
"6,092,075",,"5,314,296",
"(181,753)",,-,
"(333,677)",,"(134,010)",
-,,"(482,992)",
"8,730,465",,-,
"282,866",,-,
"6,220,193",,-,
"290,740",,-,
"28,658",,-,
"(12,466)",,-,
"8,242,706","9,600,994","(997,360)",
