Group,"Land and
Buildings","Leasehold
improvements","Motor
vehicles","Furniture,
fittings
& office
equipment","Computer
equipment",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,"777,412
45,681
(2,462)
-
-
-
13,747",,"1,166,943
18,947
(2,946)
1,463
-
(52,909)
22,774",,
,"415,238",,"123,679",,"846,306",
,-,,"22,950",,"31,676",
,-,,-,,(554),
,-,,-,,-,
,"(338,148)",,-,,-,
,"179,788",,-,,"52,909",
,966,,"3,892",,"4,045",
,"257,844","834,378","150,521","1,154,272","934,382",
,,"493,279
53,541
-
-
10,734",,"892,894
87,985
(51,397)
(2,686)
14,840",,
,459,,"96,950",,"711,246",
,615,,"13,819",,"53,760",
,-,,-,,"51,397",
,-,,-,,(554),
,4,,66,,"2,149",
,"1,078","557,554","110,835","941,636","817,998",
,"256,766","276,824","39,686","212,636","116,384",
