At 31 December 2020,"At
amortised
cost","At fair value
through
profit or loss","At fair value
through other
comprehensive
income",Total
,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,,"8,106,120
10,298
64,901,370
-
3,759,252
-
-
-
-
-
-
-
-
-",,
,-,,"4,940,442",
,-,,-,
,"10,501,818",,-,
,-,,-,
,-,,-,
,"1,957,847",,-,
,-,,-,
,"1,156,003",,-,
,"1,875,314",,-,
,"772,340",,-,
,"1,924,733",,-,
,"93,074",,-,
,"6,166,469",,-,
,"1,465,571",,-,
,"25,913,169","76,777,040","4,940,442",
,,"48,736,148
3,285,010
-
-
-",,
,-,,-,
,-,,-,
,"4,854,923",,-,
,"1,609,954",,-,
,"8,978,247",,-,
,"15,443,124","52,021,158",-,
