Column,Group,Company
,2019,2019
,Shs’000,Shs’000
Depreciation on right of use assets (Note 13(i)),"220,007","46,389"
Interest on lease liabilities (Note 14),"118,202","35,308"
Expenses relating to short-term leases,"37,583",-
Expenses relating to leases of low-value assets that are not shown above as short-term leases,"16,808",-
At 31 December,"392,600","81,697"
