For the year ended 31 December 2018,Notes,Share capital,"Share
Premium","Other
reserves","Retained
earnings",Total Equity
,,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
At start of year,,"216,260","7,706,782","2,991,865","1,692,035","12,606,942"
Impact of initial application of IFRS 9,,-,-,-,"(7,582)","(7,582)"
"Impact of initial application of IFRS 9 share
of associate’s IFRS 9 & IFRS 15",24(i),-,-,-,"(78,359)","(78,359)"
Comprehensive income,,,,,,
Loss for the year,,-,-,-,"(766,601)","(766,601)"
"Share of associate’s other comprehensive
income",24(i),-,-,"8,405",-,"8,405"
"Fair value gain on financial assets at
fair value through other comprehensive
income",28,-,-,"(435,939)",-,"(435,939)"
"Total comprehensive income for the
year",,-,-,"(427,534)","(766,601)","(1,194,135)"
Transactions with owners,,,,,,
Issue of shares,16,"36,084","5,530,669",-,-,"5,566,753"
Dividends:,,,,,,
- 2017 final dividends,-,-,-,-,"(756,911)","(756,911)"
Total transactions with owners,,"36,084","5,530,669",-,,"4,809,842"
At end of year,,"252,344","13,237,451","2,564,331","82,582","16,136,708"
