Maximum insured loss,Column,Column,Column,Column,Column,Column,Column,Column,Column
,"0 – 15 15 - 250 Over 250 To
Class of business Shs Millions Shs’000 Shs’000 Shs’000 Shs’",,,,,,,,
,,Gross,"21,807,422
21,532,483
11,692,146
11,505,396
15,100,288
11,860,638
7,309,599
7,339,874",,"1,378,867","-
-
80,169,708
-
428,270
-
52,309,343
1,734,005","23,186,2",,89
,,Net,,,"1,078,329",,"22,610,8",,12
,,Gross,,,"32,084,932",,"123,946,7",,86
,,Net,,,"22,855,274",,"34,360,6",,70
,,Gross,,,"2,308,570",,"17,837,1",,28
,,Net,,,"1,262,318",,"13,122,9",,56
,,Gross,,,"22,690,789",,"82,309,7",,31
,,Net,,,"15,176,069",,"24,249,9",,48
,,Gross,"161,312,1
154,846,3
394,944,0
319,843,7","64
47
59
86","2,950,631","-
-
-
-","164,262,7",,95
,,Net,,,-,,"154,846,3",,47
,,Gross,,,"2,185,209",,39,"7,129,2",68
,,Net,,,-,,"319,843,786",,
,,Gross,"612,165,6",78,"63,598,998","132,907,321","808,671,997",,
,,Net,"526,928,524",,"40,371,990","1,734,005","569,034,519",,
