Column,Prime Rents,Prime Yield
Residential,"US$4,000 Per Month*",7.00%
Retail,US$ 31.0 Per Square meters Per Month,11.00%
Office,US$ 10.0 Per Square meters Per Month,9.0%
Industrial,US$ 3.6 Per Square meters Per Month,13.0%
