LRC,Column,LIC,Total
"Excluding loss
component",Loss component,,
Shs 000',Shs 000',Shs 000',Shs 000'
"63,924,442
-","454,134
-","28,785
-","64,407,361"
,,,-
"63,924,442","454,134","28,785","64,407,361"
"(682,951)
(56,871)
(742,042)","-
-
-","-
-
-","(682,951)"
,,,"(56,871)"
,,,"(742,042)"
"(1,481,864)",-,-,"(1,481,864)"
"73,880
-
-
-","(169,056)
-
51,967
57,853","192,688
(10,291)
-
-",
,,,"97,512"
,,,"(10,291)"
,,,"51,967"
,,,"57,853"
"73,880","(59,236)","182,397","197,041"
"(1,407,984)","(59,236)","182,397","(1,284,823)"
"(10,587,687)
7,127,986","-
-","10,587,687
2,120",-
,,,"7,130,106"
"(4,867,685)","(59,236)","10,772,204","5,845,283"
"15,343,735
-","-
-","-
(10,780,172)",
,,,"15,343,735"
,,,"(10,780,172)"
"15,343,735",-,"(10,780,172)","4,563,563"
"(51,255)",-,(0),"(51,255)"
"74,349,237","394,898","20,817","74,764,952"
