Column,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
"(Loss)/profit attributed to equity
holders (Shs thousands)","2,713,784","(421,123)","242,567","2,028,232","444,299"
"Weighted number of ordinary
shares in issue (Thousands)","30,000","30,000","30,000","30,000","30,000"
"Basic and diluted earnings per
share (Shs)",90.46,(14.04),8.09,67.61,14.81
