Column,For the year ended 31 December 2023,Column,Column,Column,Column
,LRC,LIC,,,
,"Excluding
loss
component","Loss
component","Estimates of
Present Value
of Future
Cash Flows","Risk
Adjustment
for
Non-financial
risk",Total
,Shs 000’,Shs 000’,Shs 000’,Shs 000’,Shs 000’
Opening insurance contract liabilities,"(11,294)",722,"690,130","64,882","744,440"
Opening insurance contract assets,-,-,-,-,-
Net balance as at 1 January,"(11,294)",722,"690,130","64,882","744,440"
"Insurance revenue
Full Retrospective approach (6,102,832) - - - (6,102,832)",,,,,
,,,,,"(6,102,832)"
Total Insurance revenue,"(6,102,832)",-,-,-,"(6,102,832)"
"Incurred insurance service expenses:
Incurred claims and other directly
- (261,043) 2,735,739 137,264 2,611,960
attributable expenses
Amortisation of insurance
854,217 - - - 854,217
acquisition cash flows
Changes in fulfilment cash flows
- 3,605 (38,406) (34,801)
relating to LIC
Losses for the net outflow recognized
- 175,749 - - 175,749
on initial recognition
Losses on onerous contracts and
- 129,150 - - 129,150
reversal of those losses",,,,,
,,,,,"2,611,960"
,,,,,"854,217"
,,,,,"(34,801)"
,,,,,"175,749"
,,,,,"129,150"
Total insurance service expenses,"854,217","43,856","2,739,344","98,858","3,736,275"
Total insurance service result,"(5,248,615)","43,856","2,739,344","98,858","(2,366,557)"
"Finance expenses from insurance
contracts issued",-,-,"99,519","9,759","109,278"
"Total changes in the statement of
financial performance","(5,248,615)","43,856","2,838,863","108,617","(2,257,279)"
Cash flows,,,,,
Premiums received,"4,705,183",-,-,-,"4,705,183"
"Claims and other directly attribut-
able expenses paid",-,-,"(1,793,991)",-,"(1,793,991)"
Insurance acquisition cash flows,"(662,380)",-,-,-,"(662,380)"
Total cash flows,"4,042,803",-,"(1,793,991)",-,"2,248,812"
Net balance as at 31 December,"(1,217,106)","44,578","1,735,002","173,499","735,973"
Closing insurance contract liabilities,"(1,217,106)","44,578","1,735,002","173,499","735,973"
Closing insurance contract assets,-,-,-,-,-
Net closing balance,"(1,217,106)","44,578","1,735,002","173,499","735,973"
