Members,Status,"Attended/Eligible
to attend",Percentage
"Mr. Andrew Hollas
(Chairman)","Independent Non-Executive
Director",11/11,100%
Dr. Peter K. Munga,Non-Executive Director,11/11,100%
Mr. Jimnah M. Mbaru,Non-Executive Director,8/11,73%
Dr. Benson I. Wairegi,Group Managing Director,11/11,100%
Mr. Mohamed Karama,"Independent Non-Executive
Director",6/6,100%
"Africinvest III SPV 1
represented by Mr.
George Odo",Non-Executive Director,6/6,100%
