Category of Application,Number of Offer Shares,% of Offer Shares
"Employees, Agents and Individual Life Policy
Holders","19,500,000",3%
East African Retail Investors,"195,000,000",30%
Qualified Institutional Investors,"240,500,000",37%
Foreign Investors,"195,000,000",30%
Total,"650,000,000",100%
