Column,Column,"-
737,493
-",Column,Column
,"2,472,706",,"2,472,706",
,-,,"737,493",
,"2,939,016",,"2,939,016",
tal assets,"5,411,722","737,493","6,149,215",
"15
sets",,,,
"ancial assets at fair value through profit or loss
oted ordinary shares
estment in property funds
oted ordinary shares at fair value through other
omprehensive income",,"-
471,422
-",,
,"3,296,942",,,"3,296,942"
,-,,,"471,422"
,"6,283,112",,,"6,283,112"
tal assets,,"471,422",,"10,051,476"
,"9,580,054",,,
