Column,31 Dec 10,31 Dec 09,31 Dec 08,31 Dec 07,31 Dec 06
,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
"Fair value of
mortgage loans","576,464","659,877","713,347","766,302","731,989"
"Fair value of policy
loans","303,418","357,789","362,962","299,348","256,040"
