Maximum insured loss,Column,Column,Column,Column,Column,Column
Class of business,,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
,Motor,Gross,"727,182,040
677,220,946","16,875,953","30,274,894
29,128,295","774,332,887"
,,Net,,"15,896,434",,"722,245,675"
,Fire,Gross,"79,229,370
48,784,446","277,231,709","1,517,220,589
243,428,745","1,873,681,668"
,,Net,,"216,649,215",,"508,862,406"
,Personal accident,Gross,"7,036,755
5,876,021","45,606,649","335,902,787
118,543,681","388,546,191"
,,Net,,"31,664,446",,"156,084,148"
,Other,Gross,"82,029,258
68,829,291","184,350,090","672,214,706
83,653,128","938,594,054"
,,Net,,"112,027,766",,"264,510,185"
,Ordinary life,Gross,"221,907,241
207,223,023","3,259,031","-
-","225,166,272"
,,Net,,"916,000",,"208,139,023"
,Group life,Gross,"270,066,262
267,984,918","32,389,254","198,468,255
134,531,769","500,923,771"
,,Net,,"8,697,926",,"411,214,613"
,,Gross,"1,387,450,926
1,275,918,645","559,712,686","2,754,081,231
609,285,618","4,701,244,843"
,,Net,,"385,851,787",,"2,271,056,050"
