Column,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At start of year,"1,092,785","844,115","869,958","744,471","742,557"
Additions,"279,229","85,565","8,804","42,090",-
"Transfer to property and
equipment (Note 15)","(270,717)",-,"(157,974)",-,-
"Reclassification to non-current
assets held for sale",-,-,-,-,"(24,000)"
Disposal,-,-,"(52,000)",-,-
Fair value gains,"72,274","163,105","175,327","83,397","25,914"
At end of year,"1,173,571","1,092,785","844,115","869,958","744,471"
