Column,For the year ended,Column
,2020,2019
Notes,Shs’000,Shs’000
,"8,242,706",
,"(120,970)",
,"(447,388)",
,"7,674,348",
,"(119,254)",
,"(136,637)",
,"(2,268,579)",
,"441,594",
,"(708,364)",
,"1,740,026",
,"(624,159)",
,"280,929",
,"(30,566,798)",
,"8,918,750",
,"(501,680)",
,"5,074,859",
,"690,771",
,"(151,263)",
,"285,623",
,"(1,311,976)",
,"1,115,599",
,"186,213",
,-,
,"8,089,917",
,"(9,564,429)",
,"(630,872)",
,"4,675,000",
,"(1,876,274)",
,"(150,682)",
,"(204,402)",
,"1,812,770",
,"(77,311)",
,"7,575,311",
,"7,498,000",
