"31 December
2022 Shs’000","2022
Movement
Shs’000","31 December
2021
Shs’000","2021
Movement
Shs’000","31 December
2020
Shs’000"
(54),"30,503","(30,557)","41,957","(72,514)"
"915,957","(1,949,367)","2,865,324","658,112","2,207,212"
"1,598,383","136,097","1,462,286","(63,914)","1,526,200"
"30,143","30,143",-,-,-
"(265,377)",162,"(265,539)","(9,242)","(256,297)"
"(98,523)","(19,414)","(79,109)","(45,631)","(33,478)"
-,-,-,"67,606","(67,606)"
"(1,722,368)","1,725,131","(3,447,499)","(680,516)","(2,766,983)"
"(3,964,105)","(697,514)","(3,266,591)","(928,963)","(2,337,628)"
"(3,505,944)","(744,259)","(2,761,685)","(960,591)","(1,801,094)"
