Roles & Responsibilities,Membership
"• Mandated with ensuring that principles of good
governance are adhered to at all times, and these
include transparency, accountability, efficiency,
effectiveness, integrity and fairness, responsibility
and accountability.
• Responsible for setting out appropriate formal and
documented selection, interview and recruitment
criteria for directors and senior management..
• Responsible for ensuring succession planning
at senior management as well as Board and
committees’ continuity.","• Mr. Kuria Muchiru ‑ Chairman
• Dr. Peter K. Munga
• Mr. Jimnah M. Mbaru
• Mr. George Odo ‑ Representing Africinvest III SPV 1
• Mrs. Celestine Munda
• Mr. Tom Gitogo"
Focus Areas FY 2025,
"• 2025 AGM preparations
• Recruitment of non‑executive directors for the
entire Group
• Senior management appointments and changes
• Human Resource Reports
• Human Resource and Board Governance Policies
• 2024 CMA Corporate Governance Assessment find‑
ings and recommendations","• 2024 Group Board Evaluation findings and recom‑
mendations.
• Monitor the implementation of the 2024 CMA Cor‑
porate Governance Assessment Recommendations
• Monitor the implementation of the 2024 Board Eval‑
uation recommendations and action plan
• Monitor the implementation of the 2023 Governance
Audit recommendations and action plan
• Review of the performance management framework
and the staff bonus policy"
