"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"14,195,178","17,643,855","783,878","17,688",-,"32,640,599"
"(959,212)","(5,864,183)",-,-,-,"(6,823,395)"
"13,235,966","11,779,672","783,878","17,688",-,"25,817,204"
"(47,199)","7,720","(4,923)","383,639","(139,896)","199,341"
"8,893,038","1,707,660","8,910","5,575","206,379","10,821,562"
336,"(2,277)",-,-,"(5,554)","(7,495)"
"619,938","(137,647)",-,-,"1,318,424","1,800,715"
"169,077","1,290,470",-,-,-,"1,459,547"
"40,993","608,248","4,557","162,466","(18,496)","797,768"
"22,912,149","15,253,846","792,422","569,368","1,360,857","40,888,642"
"7,729,745","11,648,351",-,-,-,"19,378,096"
"(845,668)","(4,007,563)",-,-,-,"(4,853,231)"
"3,315,561",-,-,-,-,"3,315,561"
"10,199,638","7,640,788",-,-,-,"17,840,426"
"5,230,998",-,-,-,-,"5,230,998"
"1,479,610","2,455,063","182,427",-,-,"4,117,100"
"26,989","35,228","21,895",-,"367,162","451,274"
"3,433,210","4,527,486","717,904","162,314","2,841,234","11,682,148"
"20,370,445","14,658,565","922,226","162,314","3,208,396","39,321,946"
"2,541,704","595,281","(129,804)","407,054","(1,847,539)","1,566,696"
"(170,927)",-,-,-,"(115,158)","(286,085)"
"2,370,777","595,281","(129,804)","407,054","(1,962,697)","1,280,611"
"(711,233)","(216,278)","(10,772)","(1,054)",-,"(939,337)"
"1,659,544","379,003","(140,576)","406,000","(1,962,697)","341,274"
